city,ep0,ep0F,ep1F,deltaExposure0,deltaExposure1,deltaNDVIGlobal0,deltaNDVIGlobal1,deltaNDVILocal,di
Washington D.C.,44473990.30707533,41920945.572844036,41769292.6072449,-5.74053444856989,-6.08152693553144,10.096571343349813,5.022411887994012,0.14,0.1
Philadelphia,62349047.73416033,59477959.26591419,59282697.782129176,-4.60486338217657,-4.918038147278924,10.648700362552162,4.595544241059448,0.14,0.1
Ho Chi Minh City,81177989.07351911,75387879.61439179,75157369.16793887,-7.132610114157287,-7.416566946648115,21.581852806719816,5.650245733558783,0.14,0.1
Tehran,258176530.11387238,251707208.45090497,251449155.22321153,-2.5057745024747327,-2.60572674351679,54.35450484641562,11.165444961847957,0.14,0.1
Rio de Janeiro,102999227.96031946,97998779.31028017,97782234.83397833,-4.854840904211159,-5.065079835696424,12.291720018452402,3.951148312448811,0.14,0.1
Denver,40256031.81345483,38783739.51982605,38725297.60612059,-3.6573209710568038,-3.8024965163670785,24.802578875180345,8.275892474424548,0.14,0.1
Sydney,46586627.324648574,44431058.166513965,44345469.03637843,-4.6270126899573105,-4.810733072931357,19.201618927317337,7.773831821343322,0.14,0.1
Istanbul,241870575.8309828,234302950.70381874,233983296.47638753,-3.1287911318540296,-3.260950335731139,16.538449730932484,4.015485235308799,0.14,0.1
Kuala Lumpur,19535337.959330127,16407614.080923207,16281533.716948196,-16.010595183551,-16.655991563370446,17.26081196692518,6.27658260628936,0.14,0.1
Chengdu,64944881.5741763,59130447.33309679,58898406.285726815,-8.952875269221328,-9.310164468532513,18.765630012245758,7.101262994769103,0.14,0.1
Dortmund,71735651.06559065,67667837.3417823,67491129.94980538,-5.67056082071241,-5.916892162732785,14.229188761581792,6.607146023156421,0.14,0.1
Minneapolis [Saint Paul],25811647.100173596,24331502.73253458,24266597.944304444,-5.734404944770308,-5.985860374864498,13.26249652631896,6.34899939306407,0.14,0.1
Lagos,51375018.45075455,46193944.41452317,45987470.88044602,-10.084812020452498,-10.48670683295766,23.28359484101215,5.863241169199713,0.14,0.1
Atlanta,28258061.600715663,26490093.10591043,26430833.802365564,-6.256510159070699,-6.46621776174422,13.906846684668198,8.8607726961242,0.14,0.1
Colombo,21136261.159684997,18681765.058716282,18584921.788597897,-11.612726027677903,-12.070911462588704,15.759287816098182,8.297878783148914,0.14,0.1
Hanoi,29009072.005645007,25367266.92151455,25222397.899944052,-12.554021319336874,-13.053413445849246,20.924097601517605,10.17701465386508,0.14,0.1
Quanzhou,37337974.32708306,34975058.443298064,34880698.18876868,-6.328452269760805,-6.581171535414546,22.632491637897658,10.419859335605981,0.14,0.1
Montreal,39617812.46380821,37561830.71518669,37467549.58546965,-5.1895387977307,-5.427515414443631,14.48146166938918,5.02350654129233,0.14,0.1
Mumbai,185012748.62545127,175563415.91503617,175186011.4669391,-5.1073954528100005,-5.31138380004607,30.27155676814383,5.798556851521886,0.14,0.1
Indianapolis,11940919.56453447,11062198.412706483,11024984.994978178,-7.358906883837176,-7.670553047494721,14.454444142870924,5.694853159900108,0.14,0.1
Kansas City,17270953.167043254,16348618.85960236,16309678.732008392,-5.340378718650623,-5.565844720540284,14.302062072693392,5.406872953866811,0.14,0.1
Riyadh,106399454.37581104,103667370.29426396,103558088.65819639,-2.567761364543422,-2.670470195813908,110.43278533005893,40.54275775797677,0.14,0.1
New Taipei [Taipei],78444973.93860006,73951605.62382701,73726364.29074138,-5.7280512557631456,-6.015184161514284,12.163198374856092,3.4423524358353204,0.14,0.1
Bandung,46467109.51882041,42715822.58949644,42557268.565096214,-8.072993926606518,-8.414211674045722,15.475327594258458,5.049842482425966,0.14,0.1
Orlando,11119336.012439964,10216332.122136462,10180153.716138579,-8.121023497205673,-8.44638830277867,17.229074246511832,7.350239909293089,0.14,0.1
Lahore,267572601.18164092,260759656.03909278,260487307.14995968,-2.5462043245314177,-2.6479893682654776,30.924720674175003,5.690964844185515,0.14,0.1
Cleveland,14791258.660507698,13893614.963650478,13825749.069665767,-6.068744502818456,-6.527568836449447,10.893881822383,6.046717679149287,0.14,0.1
Portland,23218967.03207245,21976726.44062956,21921765.443693243,-5.350111353907255,-5.586818683998208,14.459652028477647,4.833745882149923,0.14,0.1
Chennai,61662886.032304235,57043117.30190854,56860522.97596912,-7.491976175061724,-7.788093236212185,25.408461102694268,7.284485844034235,0.14,0.1
Boston,38280295.582565546,36843686.31849964,36839654.97071225,-3.752868785893593,-3.763399916142294,10.043293438753153,5.298599333113919,0.13,0.1
St. Louis,17657119.233186685,16773142.408569377,16730358.181504853,-5.006347937866709,-5.248653755137912,14.890370657424214,6.003083612814822,0.14,0.1
Naples,59453830.5742854,57292879.21654296,57198030.93659552,-3.6346713691431765,-3.794204033449689,15.306476037729617,4.632655424926748,0.14,0.1
Singapore,18907258.351646364,15764096.348737594,15638641.741030596,-16.624102471393357,-17.287628644113546,19.839574591653065,4.946960985152662,0.14,0.1
Las Vegas,42708985.68704696,41508172.45607526,41460591.467296205,-2.8116173017330435,-2.9230247444845667,73.27960692871092,18.56237101980948,0.14,0.1
Lima,42539013.59662859,38414158.54211627,38252038.08863541,-9.696640109302477,-10.077750153409637,74.37315263978186,18.765884083793065,0.14,0.1
San Antonio,20196116.38699411,19216408.042602755,19177758.217107657,-4.850973947754954,-5.042346510452145,21.103000692746452,7.405375334670742,0.14,0.1
Hyderabad,98546063.62489471,94548772.37684211,94390528.98534042,-4.056266786330369,-4.216844881163291,32.6692500399053,8.82528445695789,0.14,0.1
Columbus,12301291.531305812,11458847.60897321,11422705.008955948,-6.848418478569088,-7.142229904184704,14.582869833254534,5.828899039521534,0.14,0.1
Accra,19203071.225726206,17190643.293893266,17111056.73406739,-10.479719145846344,-10.894166183460063,25.58215853159388,9.894702273843937,0.14,0.1
Wuhan,69933881.59688535,66311848.56489757,66168865.1006518,-5.179224932581321,-5.383680142246295,21.63000171203132,4.374706589864262,0.14,0.1
Bradenton,4528813.272761336,4193852.014993018,4180538.8496797937,-7.396225845365512,-7.690191714819584,16.542157781766058,4.678246898148185,0.14,0.1
Sacramento,28886689.256725997,27881973.690498367,27841854.467491213,-3.4781264038200264,-3.6170112121502584,25.345229732479098,7.061876403459498,0.14,0.1
Chattogram,42508258.26231131,39674980.88494392,39562168.33304149,-6.665239869118405,-6.930629599288673,16.247867180673794,5.067717477544754,0.14,0.1
Baghdad,140332962.9008119,137432873.880048,137317449.07268596,-2.066577203827516,-2.1488278774939964,46.994028393038434,9.908258653931282,0.14,0.1
Onitsha,12174279.962291615,10196369.373806816,10117543.81315348,-16.24663302151045,-16.8941091835298,23.937343842637915,10.098204627189684,0.14,0.1
Madrid,120442047.15031028,117055773.774349,116921214.81830113,-2.8115375453019693,-2.9232584594109343,36.94682312927289,8.61947136994607,0.14,0.1
Milwaukee,13969665.304505842,13190408.908081826,13154911.124138568,-5.5782037682225,-5.8323099559477605,14.39938761353555,5.5520137687601006,0.14,0.1
